Item,Quantity,Total price+Shipping,Use In project,Item Source
Pcb ,5x minimum,$32.05,Mount everything,JLCPCB
NRF52840,2x,$10.77,Drive the boards,https://www.aliexpress.us/item/3256807018711621.html?
Kalih Choc 10pc,4x,$31.00,Be switches,https://www.littlekeyboards.com/collections/keyboard-switches/products/kailh-choc-low-profile-switches
301230 lithium battery ,2x,$8.76,Power the boards,https://www.aliexpress.us/item/3256806602655947
Filament,1x,$0,Case,Already owned
1N4148 Diodes 50pc,1x,$1.28,be diodes,https://www.aliexpress.us/item/3256806058794623.html
Keycaps 10pc 1u,3x,$17.10,Be keycaps,https://www.adafruit.com/product/5737
Keycaps 2pc 1.5u,2x,$4.66,be keycaps,https://www.aliexpress.us/item/3256805730011012.htm
Everything,,$105.62,,
